,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,utilities,lot_config,land_slope,neighborhood,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,heating_qc,electrical,low_qual_fin_sf,gr_liv_area,full_bath,half_bath,kitchen_abvgr,kitchen_qual,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,pool_area,pool_qc,fence,misc_val,mo_sold,yr_sold,saleprice,original,porch,total_sf,total_rooms
11,2752,906380150,twenty,RL,64.0,7488,2,3,Inside,2,CollgCr,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,3,2,PConc,5.0,4.0,3.0,6.0,393.0,1.0,0.0,815.0,4,4.0,0,1208,2.0,0.0,1,3,7,0,0.0,Attchd,2005.0,2.0,2.0,632.0,4.0,4.0,2,105,0,0.0,0.0,0,2,2006,12.120514757168527,train,1,2416.0,8
12,807,906226060,seventy,RL,120.0,26400,3,3,FR2,2,SawyerW,2Story,5,7,1880,2007,Gable,HdBoard,HdBoard,None,0.0,3,2,PConc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.0,0,2016,1.0,0.0,1,2,4,1,4.0,Attchd,1900.0,1.0,2.0,576.0,4.0,4.0,1,0,0,0.0,0.0,0,6,2009,11.782952602183288,train,0,2016.0,11
13,1177,533236070,hundredsixty,FV,24.0,2645,3,3,Inside,2,Somerst,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,3,2,PConc,5.0,4.0,1.0,6.0,813.0,1.0,0.0,147.0,4,4.0,0,1607,3.0,1.0,1,3,7,0,0.0,Detchd,2000.0,1.0,2.0,480.0,4.0,4.0,2,169,0,0.0,0.0,0,12,2008,12.206072645530174,train,0,2567.0,10
14,1480,907418040,twenty,RL,74.0,9627,3,3,Inside,2,CollgCr,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,3,2,PConc,5.0,4.0,3.0,6.0,24.0,1.0,0.0,1327.0,4,4.0,0,1361,2.0,0.0,1,3,7,0,0.0,Attchd,2007.0,2.0,2.0,610.0,4.0,4.0,2,0,0,0.0,0.0,0,6,2008,12.170445467887022,train,1,2712.0,9
15,324,923202105,twenty,RL,93.0,10114,3,3,Inside,2,Mitchel,1Story,5,5,2004,2005,Gable,VinylSd,VinylSd,None,0.0,2,2,PConc,6.0,4.0,3.0,1.0,0.0,1.0,0.0,1430.0,4,4.0,0,1430,2.0,0.0,1,3,7,0,0.0,Attchd,2004.0,2.0,2.0,624.0,4.0,4.0,2,0,0,0.0,0.0,0,3,2010,12.063932878369052,train,0,2860.0,10
16,1311,902301140,seventy,RM,34.0,4571,3,3,Inside,2,OldTown,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,None,0.0,2,2,BrkTil,4.0,4.0,1.0,1.0,0.0,1.0,0.0,624.0,1,4.0,0,1344,1.0,0.0,1,2,7,0,0.0,Detchd,1916.0,1.0,3.0,513.0,3.0,3.0,2,0,0,0.0,0.0,0,5,2008,11.49272275765271,train,1,1968.0,11
17,770,905101490,twenty,RL,80.0,8816,3,3,Corner,2,Sawyer,1Story,5,6,1963,1963,Gable,VinylSd,VinylSd,None,0.0,2,2,PConc,4.0,4.0,1.0,3.0,651.0,1.0,0.0,470.0,2,4.0,0,1121,2.0,0.0,1,2,7,0,0.0,Detchd,1963.0,1.0,2.0,480.0,4.0,4.0,2,0,0,0.0,3.0,0,6,2009,11.842229212112828,train,1,2242.0,8
18,2063,905107140,twenty,RL,71.0,8197,3,3,Inside,2,Sawyer,1Story,6,5,1977,1977,Gable,Plywood,Plywood,BrkFace,148.0,2,2,CBlock,4.0,4.0,1.0,1.0,0.0,1.0,0.0,660.0,4,4.0,0,1285,1.0,1.0,1,2,7,1,4.0,Attchd,1977.0,2.0,2.0,528.0,4.0,4.0,2,138,0,0.0,3.0,0,4,2007,11.874090314181814,train,0,1945.0,10
19,69,528458070,sixty,FV,72.0,8640,3,3,Inside,2,Somerst,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,0.0,2,2,PConc,5.0,4.0,2.0,6.0,24.0,1.0,0.0,732.0,4,4.0,0,1547,2.0,1.0,1,3,7,0,0.0,Attchd,2009.0,1.0,2.0,614.0,4.0,4.0,2,169,0,0.0,0.0,0,6,2010,12.279323107269766,train,1,2303.0,10
20,2062,905106150,twenty,RL,109.0,8724,3,3,Inside,2,Sawyer,1Story,5,5,1968,1968,Gable,VinylSd,VinylSd,None,0.0,2,2,CBlock,5.0,4.0,1.0,4.0,492.0,1.0,0.0,402.0,3,4.0,0,894,1.0,0.0,1,2,7,1,2.0,Attchd,1968.0,3.0,2.0,450.0,4.0,4.0,2,0,0,0.0,0.0,0,5,2007,11.76756768334381,train,0,1788.0,8
21,351,527131030,hundredtwenty,RL,40.0,5664,2,3,Inside,2,StoneBr,1Story,8,5,2000,2000,Gable,CemntBd,CmentBd,None,0.0,3,2,PConc,5.0,4.0,1.0,6.0,1158.0,1.0,0.0,343.0,4,4.0,0,1659,3.0,0.0,1,4,7,1,6.0,Attchd,2000.0,3.0,2.0,499.0,4.0,4.0,2,212,0,0.0,0.0,0,10,2009,12.535376392672774,train,1,3160.0,7
22,2393,528142010,sixty,RL,103.0,12867,2,3,Corner,2,NridgHt,2Story,8,5,2005,2006,Gable,CemntBd,CmentBd,none,0.0,3,2,PConc,6.0,4.0,3.0,1.0,0.0,1.0,0.0,1209.0,4,4.0,0,2253,2.0,1.0,1,4,7,1,5.0,Attchd,2005.0,3.0,2.0,575.0,4.0,4.0,2,243,0,0.0,0.0,0,7,2006,12.748783489541202,train,1,3462.0,11
23,12,527165230,twenty,RL,0.0,7980,2,3,Inside,2,Gilbert,1Story,6,7,1992,2007,Gable,HdBoard,HdBoard,None,0.0,2,3,PConc,5.0,4.0,1.0,5.0,935.0,1.0,0.0,233.0,4,4.0,0,1187,3.0,0.0,1,2,7,0,0.0,Attchd,1992.0,3.0,2.0,420.0,4.0,4.0,2,483,0,0.0,4.0,500,3,2010,12.128111104060462,train,1,2355.0,9
24,2339,527250040,hundredninety,RL,100.0,34650,3,3,Inside,2,Gilbert,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,4.0,4.0,2.0,3.0,1056.0,1.0,0.0,0.0,2,4.0,0,1056,2.0,0.0,1,2,7,0,0.0,Attchd,1955.0,3.0,2.0,572.0,4.0,4.0,2,264,0,0.0,0.0,0,1,2006,11.884489021402711,train,0,2112.0,8
25,624,535104120,twenty,RL,92.0,10573,2,3,Corner,2,NAmes,1Story,6,6,1961,1961,Hip,MetalSd,MetalSd,BrkFace,3.0,2,2,CBlock,4.0,4.0,1.0,3.0,1312.0,1.0,0.0,141.0,4,4.0,0,1453,3.0,0.0,1,2,7,1,4.0,Attchd,1961.0,2.0,2.0,530.0,4.0,4.0,2,0,0,0.0,4.0,0,4,2009,12.141534124392603,train,1,2906.0,9
26,86,532376160,twenty,RL,65.0,8450,3,3,Inside,2,Sawyer,1Story,5,8,1965,2009,Gable,MetalSd,MetalSd,None,0.0,2,3,CBlock,4.0,4.0,1.0,6.0,553.0,4.0,117.0,224.0,4,4.0,0,894,2.0,0.0,1,2,7,1,5.0,Detchd,1973.0,1.0,1.0,336.0,4.0,4.0,2,416,0,0.0,3.0,0,4,2010,11.83862560460953,train,1,1788.0,8
27,1534,909277040,fifty,RL,0.0,11700,2,3,Inside,1,Crawfor,1.5Fin,5,6,1937,1995,Gable,WdShing,Wd Shng,None,0.0,2,2,CBlock,4.0,4.0,1.0,4.0,606.0,1.0,0.0,336.0,4,4.0,0,1938,2.0,0.0,1,3,5,1,5.0,Detchd,1937.0,1.0,1.0,240.0,4.0,4.0,2,0,0,0.0,0.0,0,7,2008,12.196022309676673,train,1,2880.0,11
28,2243,911103060,hundredninety,C (all),75.0,8250,3,3,Inside,2,IDOTRR,2Story,5,6,1895,2006,Gable,VinylSd,VinylSd,None,0.0,2,3,CBlock,4.0,4.0,1.0,1.0,0.0,1.0,0.0,957.0,1,4.0,0,1991,2.0,0.0,2,2,7,0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,6,2007,11.691908120498669,train,1,2948.0,13
29,1957,535450190,fifty,RL,60.0,8064,3,3,Corner,2,NAmes,1.5Fin,5,7,1949,2006,Gable,MetalSd,MetalSd,None,0.0,2,3,CBlock,4.0,4.0,2.0,1.0,0.0,1.0,0.0,672.0,4,4.0,0,924,1.0,0.0,1,2,7,1,2.0,Detchd,2003.0,1.0,2.0,576.0,4.0,4.0,2,0,0,0.0,3.0,2000,7,2007,11.719126295554126,train,0,1596.0,9
30,380,527355150,twenty,RL,80.0,9600,3,3,Inside,2,NWAmes,1Story,8,5,1981,1981,Hip,BrkFace,BrkFace,None,0.0,3,2,PConc,5.0,4.0,1.0,5.0,1104.0,1.0,0.0,1420.0,2,4.0,0,2524,3.0,1.0,1,3,7,1,5.0,Attchd,1981.0,3.0,2.0,542.0,4.0,4.0,2,474,0,0.0,3.0,0,7,2009,12.535376392672774,train,1,5048.0,13
31,2860,909276010,seventy,RL,0.0,11435,2,3,Corner,1,Crawfor,2Story,8,7,1929,1950,Gable,BrkFace,Stucco,None,0.0,2,2,PConc,5.0,4.0,1.0,1.0,0.0,1.0,0.0,792.0,1,4.0,0,1517,1.0,0.0,1,3,7,2,5.0,Detchd,1931.0,1.0,2.0,400.0,4.0,4.0,2,0,0,0.0,0.0,0,6,2006,12.345834587905333,train,0,2309.0,10
32,2517,533250130,hundredtwenty,RL,30.0,9549,2,3,CulDSac,2,Veenker,1Story,8,5,1995,1996,Hip,BrkFace,BrkFace,None,0.0,3,3,PConc,5.0,5.0,3.0,2.0,437.0,6.0,1057.0,0.0,4,4.0,0,1494,2.0,1.0,1,4,7,1,5.0,Attchd,1995.0,3.0,2.0,481.0,4.0,4.0,2,0,0,0.0,0.0,0,4,2006,12.506177237980511,train,1,2988.0,8
33,1933,535302070,twenty,RL,60.0,10950,3,3,Inside,2,NAmes,1Story,6,6,1952,1952,Hip,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,4.0,4.0,1.0,5.0,441.0,1.0,0.0,507.0,2,4.0,0,948,1.0,0.0,1,2,7,0,0.0,Detchd,1952.0,1.0,2.0,410.0,4.0,4.0,0,0,0,0.0,0.0,0,4,2007,11.736069016284437,train,1,1896.0,7
34,820,906340110,twenty,RL,79.0,10637,3,3,Inside,2,CollgCr,1Story,8,5,2007,2008,Hip,VinylSd,VinylSd,Stone,336.0,3,2,PConc,6.0,4.0,4.0,6.0,1288.0,1.0,0.0,417.0,4,4.0,0,1718,3.0,0.0,1,3,7,1,5.0,Attchd,2007.0,2.0,3.0,826.0,4.0,4.0,2,208,0,0.0,0.0,0,9,2009,12.601487417784837,train,1,3423.0,10
35,675,535426150,twenty,RL,80.0,9000,2,3,Inside,1,NAmes,1Story,6,6,1958,1958,Flat,Wd Sdng,Wd Sdng,BrkFace,82.0,2,2,CBlock,5.0,4.0,4.0,1.0,0.0,1.0,0.0,160.0,1,4.0,0,1142,1.0,0.0,1,2,7,1,5.0,Basment,1958.0,2.0,1.0,384.0,4.0,4.0,2,0,0,0.0,0.0,0,4,2009,11.639558115903595,train,1,1302.0,7
36,2910,923225240,hundredsixty,RM,41.0,2665,3,3,Inside,2,MeadowV,2Story,5,6,1977,1977,Gable,CemntBd,CmentBd,None,0.0,2,2,PConc,4.0,4.0,1.0,5.0,548.0,3.0,173.0,36.0,4,4.0,0,1475,2.0,0.0,1,2,7,1,4.0,Attchd,1977.0,2.0,1.0,336.0,4.0,4.0,2,104,0,0.0,0.0,0,7,2006,11.751942365440728,train,1,2232.0,10
37,21,527358140,twenty,RL,105.0,11751,2,3,Inside,2,NWAmes,1Story,6,6,1977,1977,Hip,Plywood,Plywood,BrkFace,480.0,2,2,CBlock,5.0,4.0,1.0,4.0,705.0,1.0,0.0,1139.0,4,4.0,0,1844,2.0,0.0,1,2,7,1,4.0,Attchd,1977.0,2.0,2.0,546.0,4.0,4.0,2,0,0,0.0,3.0,0,1,2010,12.154779351142624,train,1,3688.0,10
38,1873,534177210,twenty,RL,80.0,9600,3,3,Inside,2,NWAmes,1Story,7,6,1973,1973,Hip,HdBoard,HdBoard,BrkFace,320.0,2,2,CBlock,4.0,4.0,1.0,5.0,916.0,1.0,0.0,326.0,1,4.0,0,1242,1.0,1.0,1,2,7,1,4.0,Attchd,1973.0,1.0,2.0,528.0,4.0,4.0,2,0,0,0.0,0.0,0,9,2007,12.075394321888057,train,0,2484.0,9
39,2125,907135050,twenty,RL,60.0,8428,1,3,Inside,2,CollgCr,1Story,5,7,1994,1994,Gable,VinylSd,VinylSd,None,0.0,2,3,PConc,5.0,5.0,1.0,6.0,420.0,1.0,0.0,570.0,4,4.0,0,990,2.0,0.0,1,2,7,0,0.0,Detchd,1995.0,1.0,1.0,384.0,4.0,4.0,2,256,0,0.0,0.0,0,7,2007,11.891361900690473,train,0,1980.0,8
40,1489,908102260,twenty,RL,75.0,9937,3,3,Inside,2,Edwards,1Story,5,6,1965,1965,Gable,HdBoard,HdBoard,None,0.0,3,2,CBlock,4.0,4.0,1.0,4.0,830.0,2.0,290.0,136.0,3,4.0,0,1256,2.0,1.0,1,2,7,0,0.0,Attchd,1965.0,3.0,1.0,276.0,4.0,4.0,2,736,0,0.0,0.0,0,6,2008,11.901583454762012,train,1,2512.0,9
41,2383,528110050,twenty,RL,107.0,13891,3,3,Inside,2,NridgHt,1Story,10,5,2006,2006,Gable,VinylSd,VinylSd,none,0.0,4,2,PConc,6.0,5.0,4.0,6.0,1386.0,1.0,0.0,690.0,4,4.0,0,2076,3.0,1.0,1,4,7,1,5.0,Attchd,2006.0,3.0,3.0,850.0,4.0,4.0,2,216,0,0.0,0.0,0,9,2006,13.049792684569493,train,1,4152.0,9
42,983,923275040,eightyfive,RL,0.0,9101,2,3,Corner,2,Mitchel,SFoyer,5,6,1978,1978,Gable,Plywood,Plywood,BrkFace,104.0,2,3,PConc,5.0,4.0,3.0,6.0,1097.0,1.0,0.0,0.0,4,4.0,0,1110,2.0,0.0,1,3,7,1,4.0,Attchd,1978.0,3.0,2.0,602.0,4.0,4.0,2,303,0,0.0,0.0,0,7,2009,12.016726473799254,train,1,2207.0,5
43,1325,902406090,fifty,RM,81.0,12150,3,3,Inside,2,OldTown,1.5Fin,5,5,1954,1954,Gable,MetalSd,MetalSd,BrkFace,335.0,2,2,BrkTil,4.0,4.0,1.0,1.0,0.0,1.0,0.0,1050.0,4,2.0,0,1795,2.0,0.0,1,2,7,0,0.0,Attchd,1954.0,1.0,1.0,352.0,3.0,4.0,2,0,0,0.0,0.0,0,11,2008,11.786762130599957,train,0,2845.0,11
44,1378,905102170,twenty,RL,70.0,11200,3,3,Inside,2,Sawyer,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,2,2,CBlock,4.0,4.0,1.0,3.0,906.0,1.0,0.0,134.0,4,4.0,0,1040,2.0,0.0,1,2,7,0,0.0,Detchd,1965.0,1.0,1.0,384.0,4.0,4.0,2,0,0,0.0,0.0,0,2,2008,11.771436160121729,train,0,2080.0,8
45,1537,909281110,seventy,RL,100.0,9670,2,3,Inside,1,Crawfor,2Story,8,6,1935,1950,Gable,BrkFace,Stucco,Stone,40.0,2,2,PConc,4.0,3.0,1.0,2.0,210.0,1.0,0.0,398.0,2,4.0,0,1873,1.0,1.0,1,2,7,2,5.0,Detchd,1935.0,3.0,2.0,786.0,3.0,4.0,2,0,0,0.0,0.0,0,6,2008,12.45712704000522,train,1,2481.0,13
46,905,909101140,fifty,RL,60.0,10998,3,3,Inside,2,Edwards,1.5Fin,5,5,1941,1960,Gable,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,4.0,4.0,1.0,2.0,408.0,4.0,420.0,156.0,4,4.0,0,1604,2.0,0.0,1,2,5,0,0.0,Detchd,1977.0,1.0,2.0,660.0,4.0,4.0,2,0,0,0.0,0.0,0,7,2009,11.669929213779893,train,1,2588.0,9
47,1532,909275050,seventy,RL,60.0,7200,3,3,Inside,1,Crawfor,2Story,7,6,1931,2000,Gable,Stucco,Wd Shng,None,0.0,2,1,BrkTil,5.0,4.0,1.0,1.0,0.0,1.0,0.0,776.0,2,4.0,0,1502,1.0,1.0,1,2,7,1,5.0,Attchd,1931.0,2.0,1.0,270.0,4.0,4.0,1,0,0,0.0,3.0,0,2,2008,11.911701584927597,train,1,2278.0,9
48,132,534475100,twenty,RL,80.0,9920,3,3,Inside,2,NAmes,1Story,5,5,1954,1954,Gable,HdBoard,HdBoard,Stone,110.0,2,2,CBlock,4.0,4.0,1.0,3.0,354.0,2.0,290.0,412.0,2,4.0,0,1063,2.0,0.0,1,2,7,0,0.0,Attchd,1954.0,2.0,1.0,280.0,4.0,4.0,2,0,0,0.0,3.0,0,2,2010,11.759785542901755,train,1,2119.0,9
49,1078,528188090,hundredsixty,RL,36.0,2448,3,3,Inside,2,NridgHt,2Story,7,5,2003,2004,Gable,VinylSd,Wd Shng,Stone,106.0,3,2,PConc,5.0,4.0,1.0,1.0,0.0,1.0,0.0,764.0,4,4.0,0,1626,2.0,1.0,1,3,7,0,0.0,BuiltIn,2003.0,2.0,2.0,474.0,4.0,4.0,2,0,0,0.0,0.0,0,10,2008,11.951180395901384,train,1,2390.0,8
50,2511,533221080,hundredsixty,FV,0.0,2998,3,3,Inside,2,Somerst,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,BrkFace,513.0,3,2,PConc,5.0,4.0,1.0,6.0,353.0,1.0,0.0,403.0,4,4.0,0,1524,2.0,1.0,1,3,7,0,0.0,Detchd,2000.0,1.0,2.0,440.0,4.0,4.0,2,0,0,0.0,0.0,0,6,2006,12.01974306733868,train,1,2280.0,6
51,912,909250220,fifty,RL,65.0,7804,3,3,Inside,2,SWISU,1.5Fin,4,3,1928,1950,Gable,WdShing,Plywood,None,0.0,2,2,BrkTil,4.0,4.0,1.0,4.0,622.0,1.0,0.0,500.0,2,4.0,0,1981,3.0,0.0,1,3,5,2,4.0,Detchd,1981.0,1.0,2.0,576.0,4.0,4.0,2,431,0,0.0,3.0,0,12,2009,11.813030057420567,train,1,3103.0,11
52,2351,527356020,sixty,RL,80.0,16692,2,3,Inside,2,NWAmes,2Story,7,5,1978,1978,Gable,Plywood,Plywood,BrkFace,184.0,2,2,CBlock,5.0,4.0,1.0,4.0,790.0,2.0,469.0,133.0,2,4.0,0,2784,4.0,1.0,1,3,7,2,4.0,Attchd,1978.0,2.0,2.0,564.0,4.0,4.0,2,0,519,1.0,3.0,2000,7,2006,12.429216196844383,train,1,4176.0,17
53,330,923226250,hundredsixty,RM,21.0,1476,3,3,Inside,2,MeadowV,2Story,4,7,1970,1970,Gable,CemntBd,CmentBd,None,0.0,2,2,CBlock,4.0,4.0,1.0,6.0,176.0,1.0,0.0,370.0,4,4.0,0,1092,1.0,1.0,1,2,7,0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,2,200,0,0.0,0.0,0,3,2010,11.238488619268468,train,1,1638.0,8
54,2586,535305120,twenty,RL,75.0,10170,3,3,Corner,2,NAmes,1Story,6,6,1951,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,522.0,2,2,CBlock,4.0,4.0,1.0,1.0,0.0,1.0,0.0,216.0,2,4.0,0,1575,1.0,1.0,1,3,7,1,5.0,Attchd,1951.0,1.0,2.0,400.0,4.0,4.0,2,0,0,0.0,0.0,0,6,2006,11.951180395901384,train,0,1791.0,7
55,224,905106140,sixty,RL,80.0,9364,3,3,Corner,2,Sawyer,2Story,6,7,1969,1969,Gable,HdBoard,HdBoard,Stone,143.0,2,2,CBlock,4.0,4.0,1.0,5.0,371.0,1.0,0.0,292.0,2,4.0,0,1352,1.0,1.0,1,2,7,0,0.0,Attchd,1969.0,3.0,1.0,299.0,4.0,4.0,2,379,0,0.0,3.0,0,3,2010,11.970350312009105,train,1,2015.0,11
56,98,533212020,hundredsixty,FV,24.0,2544,3,3,Inside,2,Somerst,2Story,7,5,2004,2005,Gable,MetalSd,MetalSd,None,0.0,3,2,PConc,5.0,4.0,1.0,6.0,368.0,5.0,42.0,190.0,4,4.0,0,1200,3.0,1.0,1,3,7,0,0.0,Detchd,2004.0,2.0,2.0,480.0,4.0,4.0,2,0,0,0.0,0.0,0,2,2010,11.915051671812877,train,1,1800.0,6
57,2565,534479300,twenty,RL,82.0,9888,3,3,Inside,2,NAmes,1Story,5,6,1954,1975,Gable,MetalSd,MetalSd,None,0.0,2,3,CBlock,4.0,4.0,1.0,4.0,486.0,1.0,0.0,450.0,2,3.0,0,936,1.0,0.0,1,2,7,0,0.0,Attchd,1954.0,1.0,1.0,240.0,4.0,4.0,2,0,0,0.0,3.0,0,3,2006,11.703545824578878,train,1,1872.0,7
58,1934,535304170,twenty,RL,68.0,7942,3,3,Inside,2,NAmes,1Story,6,7,1953,1953,Hip,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,4.0,4.0,1.0,3.0,85.0,5.0,955.0,0.0,2,2.0,0,1040,1.0,1.0,1,2,7,0,0.0,Attchd,1953.0,3.0,1.0,293.0,4.0,4.0,2,0,0,0.0,3.0,0,6,2007,11.820410164718188,train,0,2080.0,9
59,997,527107010,sixty,RL,0.0,15038,1,3,Corner,2,Gilbert,2Story,6,5,1996,1996,Gable,HdBoard,HdBoard,None,0.0,2,2,PConc,5.0,4.0,1.0,3.0,138.0,1.0,0.0,778.0,3,4.0,0,1636,2.0,1.0,1,2,7,1,4.0,Attchd,1996.0,3.0,2.0,386.0,4.0,4.0,2,168,0,0.0,0.0,0,11,2008,12.061046873479915,train,1,2552.0,10
